Index,Start X,Start Y,End X,End Y,Image Width,Image Height
0,279.0,1088.0,239.0,1062.0,1024,1792
1,239.0,1062.0,229.0,1013.0,1024,1792
2,229.0,1013.0,260.0,987.0,1024,1792
3,260.0,987.0,263.0,943.0,1024,1792
4,263.0,943.0,284.0,785.0,1024,1792
5,284.0,785.0,305.0,491.0,1024,1792
6,305.0,491.0,488.0,411.0,1024,1792
7,488.0,411.0,435.0,149.0,1024,1792
8,488.0,411.0,692.0,442.0,1024,1792
9,692.0,442.0,757.0,690.0,1024,1792
10,757.0,690.0,683.0,891.0,1024,1792
11,303.0,1759.0,428.0,1641.0,1024,1792
12,428.0,1641.0,335.0,1289.0,1024,1792
13,335.0,1289.0,470.0,877.0,1024,1792
14,470.0,877.0,586.0,1339.0,1024,1792
15,586.0,1339.0,562.0,1648.0,1024,1792
16,562.0,1648.0,565.0,1779.0,1024,1792
